"Fate","Sex","Boat.dibs","Age","Title","Class","Deck","Side","Fare","Fare.pp","Embarked","Family","Survived"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.25,3.625,"S",1,"0"
"Survived","female","Yes",38,"Mrs","First","C","starboard",71.2833,35.64165,"C",1,"1"
"Survived","female","Yes",26,"Miss","Third","UNK","UNK",7.925,7.925,"S",0,"1"
"Survived","female","Yes",35,"Mrs","First","C","starboard",53.1,26.55,"S",1,"1"
"Perished","male","No",35,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.4583,8.4583,"Q",0,"0"
"Perished","male","No",54,"Mr","First","E","port",51.8625,51.8625,"S",0,"0"
"Perished","male","Yes",2,"Master","Third","UNK","UNK",21.075,4.215,"S",4,"0"
"Survived","female","Yes",27,"Mrs","Third","UNK","UNK",11.1333,3.7111,"S",2,"1"
"Survived","female","Yes",14,"Mrs","Second","UNK","UNK",30.0708,15.0354,"C",1,"1"
"Survived","female","Yes",4,"Miss","Third","G","port",16.7,5.56666666666667,"S",2,"1"
"Survived","female","Yes",58,"Miss","First","C","starboard",26.55,26.55,"S",0,"1"
"Perished","male","No",20,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",39,"Mr","Third","UNK","UNK",31.275,4.46785714285714,"S",6,"0"
"Perished","female","Yes",14,"Miss","Third","UNK","UNK",7.8542,7.8542,"S",0,"0"
"Survived","female","Yes",55,"Mrs","Second","UNK","UNK",16,16,"S",0,"1"
"Perished","male","Yes",2,"Master","Third","UNK","UNK",29.125,4.85416666666667,"Q",5,"0"
"Survived","male","No",30,"Mr","Second","UNK","UNK",13,13,"S",0,"1"
"Perished","female","Yes",31,"Mrs","Third","UNK","UNK",18,9,"S",1,"0"
"Survived","female","Yes",35,"Mrs","Third","UNK","UNK",7.225,7.225,"C",0,"1"
"Perished","male","No",35,"Mr","Second","UNK","UNK",26,26,"S",0,"0"
"Survived","male","No",34,"Mr","Second","D","port",13,13,"S",0,"1"
"Survived","female","Yes",15,"Miss","Third","UNK","UNK",8.0292,8.0292,"Q",0,"1"
"Survived","male","No",28,"Mr","First","A","port",35.5,35.5,"S",0,"1"
"Perished","female","Yes",8,"Miss","Third","UNK","UNK",21.075,4.215,"S",4,"0"
"Survived","female","Yes",38,"Mrs","Third","UNK","UNK",31.3875,4.48392857142857,"S",6,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.225,7.225,"C",0,"0"
"Perished","male","No",19,"Mr","First","C","starboard",263,43.8333333333333,"S",5,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.8792,7.8792,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",40,"Noble","First","UNK","UNK",27.7208,27.7208,"C",0,"0"
"Survived","female","Yes",35,"Mrs","First","B","port",146.5208,73.2604,"C",1,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Perished","male","No",66,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","male","No",28,"Mr","First","UNK","UNK",82.1708,41.0854,"C",1,"0"
"Perished","male","No",42,"Mr","First","UNK","UNK",52,26,"S",1,"0"
"Survived","male","No",30,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"1"
"Perished","male","No",21,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","female","Yes",18,"Miss","Third","UNK","UNK",18,6,"S",2,"0"
"Survived","female","Yes",14,"Miss","Third","UNK","UNK",11.2417,5.62085,"C",1,"1"
"Perished","female","Yes",40,"Mrs","Third","UNK","UNK",9.475,4.7375,"S",1,"0"
"Perished","female","Yes",27,"Mrs","Second","UNK","UNK",21,10.5,"S",1,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"C",0,"0"
"Survived","female","Yes",3,"Miss","Second","UNK","UNK",41.5792,10.3948,"C",3,"1"
"Survived","female","Yes",19,"Miss","Third","UNK","UNK",7.8792,7.8792,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",15.5,7.75,"Q",1,"0"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.75,7.75,"Q",0,"1"
"Perished","male","No",30,"Mr","Third","UNK","UNK",21.6792,7.2264,"C",2,"0"
"Perished","female","Yes",18,"Mrs","Third","UNK","UNK",17.8,8.9,"S",1,"0"
"Perished","male","Yes",7,"Master","Third","UNK","UNK",39.6875,6.61458333333333,"S",5,"0"
"Perished","male","No",21,"Mr","Third","UNK","UNK",7.8,7.8,"S",0,"0"
"Survived","female","Yes",49,"Mrs","First","D","starboard",76.7292,38.3646,"C",1,"1"
"Survived","female","Yes",29,"Mrs","Second","UNK","UNK",26,13,"S",1,"1"
"Perished","male","No",65,"Mr","First","B","port",61.9792,30.9896,"C",1,"0"
"Survived","male","No",30,"Mr","First","C","port",35.5,35.5,"S",0,"1"
"Survived","female","Yes",21,"Miss","Second","UNK","UNK",10.5,10.5,"S",0,"1"
"Perished","male","No",28.5,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"0"
"Survived","female","Yes",5,"Miss","Second","UNK","UNK",27.75,6.9375,"S",3,"1"
"Perished","male","Yes",11,"Master","Third","UNK","UNK",46.9,5.8625,"S",7,"0"
"Perished","male","No",22,"Mr","Third","UNK","UNK",7.2292,7.2292,"C",0,"0"
"Survived","female","Yes",38,"Miss","First","B","port",80,80,"S",0,"1"
"Perished","male","No",45,"Mr","First","C","starboard",83.475,41.7375,"S",1,"0"
"Perished","male","Yes",4,"Master","Third","UNK","UNK",27.9,4.65,"S",5,"0"
"Perished","male","No",30,"Mr","First","UNK","UNK",27.7208,27.7208,"C",0,"0"
"Survived","male","Yes",3.5,"Master","Third","UNK","UNK",15.2458,5.08193333333333,"C",2,"1"
"Survived","female","Yes",29,"Mrs","Second","F","starboard",10.5,10.5,"S",0,"1"
"Perished","male","No",19,"Mr","Third","UNK","UNK",8.1583,8.1583,"S",0,"0"
"Survived","female","Yes",17,"Miss","Third","UNK","UNK",7.925,1.13214285714286,"S",6,"1"
"Perished","male","No",26,"Mr","Third","UNK","UNK",8.6625,2.8875,"S",2,"0"
"Perished","male","No",32,"Mr","Second","UNK","UNK",10.5,10.5,"S",0,"0"
"Perished","female","Yes",16,"Miss","Third","UNK","UNK",46.9,5.8625,"S",7,"0"
"Perished","male","No",21,"Mr","Second","UNK","UNK",73.5,73.5,"S",0,"0"
"Perished","male","No",26,"Mr","Third","UNK","UNK",14.4542,7.2271,"C",1,"0"
"Survived","male","No",32,"Mr","Third","UNK","UNK",56.4958,56.4958,"S",0,"1"
"Perished","male","No",25,"Mr","Third","F","starboard",7.65,7.65,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",7.8958,7.8958,"S",0,"0"
"Perished","male","No",30,"Mr","Third","UNK","UNK",8.05,8.05,"S",0,"0"
"Survived","male","Yes",0.83,"Master","Second","UNK","UNK",29,9.66666666666667,"S",2,"1"
"Survived","female","Yes",30,"Miss","Third","UNK","UNK",12.475,12.475,"S",0,"1"
"Perished","male","No",22,"Mr","Third","UNK","UNK",9,9,"S",0,"0"
"Survived","male","No",29,"Mr","Third","UNK","UNK",9.5,9.5,"S",0,"1"
"Survived","female","Yes",21,"Miss","Third","UNK","UNK",7.7875,7.7875,"Q",0,"1"
"Perished","male","No",28,"Mr","First","UNK","UNK",47.1,47.1,"S",0,"0"
